PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1FFK	45	75	2.9E-8	PF00467.25
1JJ2	45	75	2.9E-8	PF00467.25
1K73	45	75	2.9E-8	PF00467.25
1K73	45	75	2.9E-8	PF00467.25
1K8A	45	75	2.9E-8	PF00467.25
1K9M	45	75	2.9E-8	PF00467.25
1KC8	45	75	2.9E-8	PF00467.25
1KD1	45	75	2.9E-8	PF00467.25
1KQS	45	75	2.9E-8	PF00467.25
1M1G	197	227	2.9E-8	PF00467.25
1M1K	45	75	2.9E-8	PF00467.25
1M90	45	75	2.9E-8	PF00467.25
1ML5	45	75	2.9E-8	PF00467.25
1N8R	45	75	2.9E-8	PF00467.25
1NJI	45	75	2.9E-8	PF00467.25
1NKW	18	49	9.5E-8	PF00467.25
1NPP	197	227	2.9E-8	PF00467.25
1NPR	197	227	2.9E-8	PF00467.25
1NWX	18	49	9.5E-8	PF00467.25
1NWY	18	49	9.5E-8	PF00467.25
1NZ9	133	164	3.7E-11	PF00467.25
1Q7Y	45	75	2.9E-8	PF00467.25
1Q81	45	75	2.9E-8	PF00467.25
1Q82	45	75	2.9E-8	PF00467.25
1Q86	45	75	2.9E-8	PF00467.25
1QVF	45	75	2.9E-8	PF00467.25
1QVG	45	75	2.9E-8	PF00467.25
1S72	45	75	2.9E-8	PF00467.25
1SM1	18	49	9.5E-8	PF00467.25
1VQ4	45	75	2.9E-8	PF00467.25
1VQ4	45	75	2.9E-8	PF00467.25
1VQ5	45	75	2.9E-8	PF00467.25
1VQ6	45	75	2.9E-8	PF00467.25
1VQ7	45	75	2.9E-8	PF00467.25
1VQ8	45	75	2.9E-8	PF00467.25
1VQ9	45	75	2.9E-8	PF00467.25
1VQK	45	75	2.9E-8	PF00467.25
1VQL	45	75	2.9E-8	PF00467.25
1VQM	45	75	2.9E-8	PF00467.25
1VQN	45	75	2.9E-8	PF00467.25
1VQO	45	75	2.9E-8	PF00467.25
1VQP	45	75	2.9E-8	PF00467.25
1VVJ	9	40	1.2E-9	PF00467.25
1VY4	9	40	1.2E-9	PF00467.25
1VY5	9	40	1.2E-9	PF00467.25
1VY6	9	40	1.2E-9	PF00467.25
1VY6	9	40	1.2E-9	PF00467.25
1VY7	9	40	1.2E-9	PF00467.25
1W2B	45	75	2.9E-8	PF00467.25
1XBP	18	49	9.5E-8	PF00467.25
1YHQ	45	75	2.9E-8	PF00467.25
1YI2	45	75	2.9E-8	PF00467.25
1YIJ	45	75	2.9E-8	PF00467.25
1YIT	45	75	2.9E-8	PF00467.25
1YJ9	45	75	2.9E-8	PF00467.25
1YJN	45	75	2.9E-8	PF00467.25
1YJW	45	75	2.9E-8	PF00467.25
2D3O	18	49	9.5E-8	PF00467.25
2DO3	475	502	1.8E-9	PF00467.25
2E70	707	736	8.1E-7	PF00467.25
2FTC	59	88	2.2E-8	PF00467.25
2J28	7	36	3.1E-5	PF00467.25
2JVV	130	162	1.1E-8	PF00467.25
2KVQ	130	162	3.6E-9	PF00467.25
2LQ8	125	160	9.8E-10	PF00467.25
2OTJ	45	75	2.9E-8	PF00467.25
2OTL	45	75	2.9E-8	PF00467.25
2QA4	45	75	2.9E-8	PF00467.25
2QEX	45	75	2.9E-8	PF00467.25
2RDO	7	36	3.1E-5	PF00467.25
2VRH	7	36	3.1E-5	PF00467.25
2WW9	53	83	1.9E-5	PF00467.25
2WWA	53	83	1.9E-5	PF00467.25
2WWB	53	83	1.9E-5	PF00467.25
2XHC	301	336	8.9E-9	PF00467.25
2ZJP	18	49	9.5E-8	PF00467.25
2ZJQ	18	49	9.5E-8	PF00467.25
2ZJR	18	49	9.5E-8	PF00467.25
3BBX	7	36	3.1E-5	PF00467.25
3CC2	45	75	2.9E-8	PF00467.25
3CC4	45	75	2.9E-8	PF00467.25
3CC7	45	75	2.9E-8	PF00467.25
3CCE	45	75	2.9E-8	PF00467.25
3CCJ	45	75	2.9E-8	PF00467.25
3CCL	45	75	2.9E-8	PF00467.25
3CCM	45	75	2.9E-8	PF00467.25
3CCQ	45	75	2.9E-8	PF00467.25
3CCR	45	75	2.9E-8	PF00467.25
3CCR	45	75	2.9E-8	PF00467.25
3CCS	45	75	2.9E-8	PF00467.25
3CCU	45	75	2.9E-8	PF00467.25
3CCV	45	75	2.9E-8	PF00467.25
3CD6	45	75	2.9E-8	PF00467.25
3CF5	18	49	9.5E-8	PF00467.25
3CMA	45	75	2.9E-8	PF00467.25
3CME	45	75	2.9E-8	PF00467.25
3CPW	45	75	2.9E-8	PF00467.25
3CXC	45	75	2.9E-8	PF00467.25
3DLL	18	49	9.5E-8	PF00467.25
3G4S	45	75	2.9E-8	PF00467.25
3G6E	45	75	2.9E-8	PF00467.25
3G71	45	75	2.9E-8	PF00467.25
3I55	45	75	2.9E-8	PF00467.25
3I56	45	75	2.9E-8	PF00467.25
3IY9	1807	1836	2.2E-8	PF00467.25
3J3V	5	36	7.7E-10	PF00467.25
3J3W	5	36	7.7E-10	PF00467.25
3J45	7	36	3.1E-5	PF00467.25
3J46	7	36	3.1E-5	PF00467.25
3J5L	7	36	3.1E-5	PF00467.25
3J6X	53	83	1.9E-5	PF00467.25
