PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1A2V	114	215	8.9E-31	PF02728.12
1AV4	99	198	3.4E-16	PF02728.12
1AVK	99	198	3.4E-16	PF02728.12
1AVL	99	198	3.4E-16	PF02728.12
1D6U	186	287	1.2E-28	PF02728.12
1D6Y	186	287	1.2E-28	PF02728.12
1D6Z	186	287	1.2E-28	PF02728.12
1DYU	186	287	1.2E-28	PF02728.12
1EKM	114	215	8.9E-31	PF02728.12
1IQX	99	198	3.4E-16	PF02728.12
1IQY	99	198	3.4E-16	PF02728.12
1IU7	99	198	3.4E-16	PF02728.12
1IVU	99	198	3.4E-16	PF02728.12
1IVV	99	198	3.4E-16	PF02728.12
1IVW	99	198	3.4E-16	PF02728.12
1IVX	99	198	3.4E-16	PF02728.12
1JRQ	186	287	1.2E-28	PF02728.12
1KSI	101	193	3.4E-16	PF02728.12
1LVN	186	287	1.2E-28	PF02728.12
1OAC	186	287	1.2E-28	PF02728.12
1PU4	169	269	8.2E-25	PF02728.12
1QAF	186	287	1.1E-28	PF02728.12
1QAK	186	287	1.1E-28	PF02728.12
1QAL	186	287	1.1E-28	PF02728.12
1RJO	99	198	3.4E-16	PF02728.12
1SIH	99	198	3.4E-16	PF02728.12
1SII	99	198	3.4E-16	PF02728.12
1SPU	186	287	1.2E-28	PF02728.12
1TU5	168	267	3.4E-29	PF02728.12
1UI7	99	198	3.4E-16	PF02728.12
1UI8	99	198	3.4E-16	PF02728.12
1US1	169	269	8.2E-25	PF02728.12
1US1	169	269	8.2E-25	PF02728.12
1W2Z	101	193	3.5E-16	PF02728.12
1W4N	99	198	3.4E-16	PF02728.12
1W5Z	99	198	3.4E-16	PF02728.12
1W6C	99	198	3.4E-16	PF02728.12
1W6G	99	198	3.4E-16	PF02728.12
1WMN	99	198	3.4E-16	PF02728.12
1WMO	99	198	3.4E-16	PF02728.12
1WMP	99	198	3.4E-16	PF02728.12
2BT3	99	198	3.4E-16	PF02728.12
2C10	169	269	7.7E-25	PF02728.12
2C11	169	269	7.7E-25	PF02728.12
2CFD	99	198	3.4E-16	PF02728.12
2CFG	99	198	3.4E-16	PF02728.12
2CFK	99	198	3.4E-16	PF02728.12
2CFL	99	198	3.4E-16	PF02728.12
2CFW	99	198	3.4E-16	PF02728.12
2CG0	99	198	3.4E-16	PF02728.12
2CG1	99	198	3.4E-16	PF02728.12
2CWT	99	198	3.4E-16	PF02728.12
2CWU	99	198	3.4E-16	PF02728.12
2CWV	99	198	3.4E-16	PF02728.12
2D1W	99	198	3.4E-16	PF02728.12
2E2T	99	198	3.4E-16	PF02728.12
2E2U	99	198	3.3E-16	PF02728.12
2E2V	99	198	3.3E-16	PF02728.12
2OOV	114	215	9.0E-31	PF02728.12
2OOV	114	215	9.0E-31	PF02728.12
2OQE	114	215	9.0E-31	PF02728.12
2OQE	114	215	9.0E-31	PF02728.12
2PNC	168	267	3.4E-29	PF02728.12
2W0Q	186	287	1.2E-28	PF02728.12
2WGQ	186	287	1.2E-28	PF02728.12
2WO0	186	287	1.2E-28	PF02728.12
2WOF	186	287	1.2E-28	PF02728.12
2WOH	186	287	1.2E-28	PF02728.12
2Y73	169	269	8.2E-25	PF02728.12
2Y74	169	269	8.3E-25	PF02728.12
2YX9	99	198	3.4E-16	PF02728.12
2ZL8	99	198	3.4E-16	PF02728.12
3ALA	169	269	7.9E-25	PF02728.12
3AMO	99	198	3.4E-16	PF02728.12
3AMO	99	198	3.4E-16	PF02728.12
3HI7	141	241	1.0E-20	PF02728.12
3HIG	141	241	1.0E-20	PF02728.12
3HII	141	241	1.0E-20	PF02728.12
3K5T	141	241	1.0E-20	PF02728.12
3KII	99	198	3.4E-16	PF02728.12
3KN4	99	198	3.4E-16	PF02728.12
3MPH	141	241	1.1E-20	PF02728.12
3N9H	114	215	9.4E-31	PF02728.12
3NBB	114	215	9.4E-31	PF02728.12
3NBJ	114	215	9.4E-31	PF02728.12
3SX1	114	215	9.4E-31	PF02728.12
3SXX	114	215	9.4E-31	PF02728.12
3T0U	114	215	9.4E-31	PF02728.12
3WA2	99	198	3.3E-16	PF02728.12
3WA3	99	198	3.3E-16	PF02728.12
3X3X	99	198	3.3E-16	PF02728.12
3X3Y	99	198	3.3E-16	PF02728.12
3X3Z	99	198	3.3E-16	PF02728.12
3X40	99	198	3.3E-16	PF02728.12
3X41	99	198	3.3E-16	PF02728.12
3X42	99	198	3.3E-16	PF02728.12
4BTW	169	269	7.7E-25	PF02728.12
4BTX	169	269	7.7E-25	PF02728.12
4BTY	169	269	7.7E-25	PF02728.12
4EV2	114	215	9.4E-31	PF02728.12
4EV5	114	215	9.4E-31	PF02728.12
4KFD	114	215	9.4E-31	PF02728.12
4KFE	114	215	9.4E-31	PF02728.12
4KFF	114	215	9.4E-31	PF02728.12
4KFF	114	215	9.4E-31	PF02728.12
