Number of modules detected: 6

proteinName	 borders
1A6I:pdb|1A6I|	M_5(1,217)
1BJZ:pdb|1BJZ|	M_5(1,207)
1JT0:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JT6:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JTX:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JTY:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JUM:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JUP:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1JUS:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1NIK:sp|P08518.2|RPB2_YEAST	M_2(1,1224)	M_3(113,540)	M_4(817,1212)
1ORK:pdb|1ORK|	M_5(1,207)
1QPI:sp|P0ACT4.2|TETR4_ECOLX	M_5(1,218)
1QVT:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1QVU:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1RKT:sp|O31560.1|YFIR_BACSU	M_5(1,204)
1RKW:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
1SGM:sp|P42105.2|YXAF_BACSU	M_5(1,187)
1T33:pdb|1T33|B	M_5(4,106)
1T56:sp|P9WMC1.1|ETHR_MYCTU	M_5(1,216)
1U9N:sp|P9WMC1.1|ETHR_MYCTU	M_5(1,216)
1U9O:sp|P9WMC1.1|ETHR_MYCTU	M_5(1,216)
1UI5:pdb|1UI5|B	M_5(1,215)
1UI6:pdb|1UI6|B	M_5(1,215)
1VI0:sp|P94548.1|FADR_BACSU	M_5(1,194)
1Z0X:pdb|1Z0X|B	M_5(2,217)
1Z77:pdb|1Z77|A	M_5(2,200)
1ZK8:pdb|1ZK8|B	M_5(4,157)
1ZKG:pdb|1ZKG|B	M_5(3,212)
2D6Y:sp|Q9ADP7.1|HTHR_STRCO	M_5(2,176)
2DG7:CAB56142.1	M_5(1,187)
2DG8:AGK78172.1	M_5(2,178)
2DTZ:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
2E2J:sp|P08518.2|RPB2_YEAST	M_2(1,1224)	M_3(113,540)	M_4(817,1212)
2EH3:pdb|2EH3|A	M_5(2,179)
2F07:sp|O07001.1|YVDT_BACSU	M_5(1,191)
2FBQ:pdb|2FBQ|A	M_5(1,179)
2FD5:pdb|2FD5|A	M_5(1,174)
2FJ1:sp|P0ACT4.2|TETR4_ECOLX	M_5(1,218)
2FQ4:AGK79292.1	M_5(1,189)
2FX0:pdb|2FX0|A	M_5(2,201)
2G0E:sp|P0A0N5.1|QACR_STAHA	M_5(1,188)
2G3B:pdb|2G3B|B	M_5(2,191)
2G7L:pdb|2G7L|A	M_5(7,221)
2G7S:pdb|2G7S|A	M_5(1,179)
2GBY:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
2GFN:pdb|2GFN|B	M_5(1,198)
2GUH:pdb|2GUH|B	M_5(2,210)
2HKU:pdb|2HKU|B	M_5(11,185)
2HQ5:sp|P0A0N4.1|QACR_STAAU	M_5(1,188)
2HXI:CAA19792.1	M_5(1,197)
2HXO:pdb|2HXO|B	M_5(6,232)
2HYJ:AGK81081.1	M_5(10,174)
2HYT:pdb|2HYT|A	M_5(1,192)
2I10:AGK76957.1	M_5(6,194)
2IAI:AGK78423.1	M_5(1,197)
