PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1AD5	267	515	0.0	PF07714.13
1AGW	479	754	0.0	PF07714.13
1BYG	195	440	0.0	PF07714.13
1FGI	479	754	0.0	PF07714.13
1FGK	479	754	0.0	PF07714.13
1FMK	268	515	0.0	PF07714.13
1FPU	242	492	0.0	PF07714.13
1FVR	824	1091	0.0	PF07714.13
1GAG	997	1263	0.0	PF07714.13
1GJO	481	757	0.0	PF07714.13
1I44	997	1263	0.0	PF07714.13
1IEP	242	492	0.0	PF07714.13
1IR3	997	1263	0.0	PF07714.13
1IRK	997	1263	0.0	PF07714.13
1JPA	630	888	0.0	PF07714.13
1JQH	999	1265	0.0	PF07714.13
1K2P	402	650	0.0	PF07714.13
1K3A	969	1235	0.0	PF07714.13
1K9A	195	440	0.0	PF07714.13
1KSW	268	515	0.0	PF07714.13
1LUF	575	855	0.0	PF07714.13
1M14	690	941	0.0	PF07714.13
1M17	690	941	0.0	PF07714.13
1M52	242	492	0.0	PF07714.13
1M7N	996	1262	0.0	PF07714.13
1MP8	422	676	0.0	PF07714.13
1MQB	615	871	0.0	PF07714.13
1OEC	481	757	0.0	PF07714.13
1OPJ	261	511	0.0	PF07714.13
1OPK	261	511	0.0	PF07714.13
1OPL	261	511	0.0	PF07714.13
1P14	997	1263	0.0	PF07714.13
1P4O	969	1235	0.0	PF07714.13
1PKG	589	923	0.0	PF07714.13
1QCF	267	515	0.0	PF07714.13
1QPC	245	493	0.0	PF07714.13
1QPD	245	493	0.0	PF07714.13
1QPE	245	493	0.0	PF07714.13
1QPJ	245	493	0.0	PF07714.13
1R0P	1079	1336	0.0	PF07714.13
1R1W	1079	1336	0.0	PF07714.13
1RJB	610	943	0.0	PF07714.13
1RQQ	997	1263	0.0	PF07714.13
1SM2	363	612	0.0	PF07714.13
1SNU	363	612	0.0	PF07714.13
1SNX	363	612	0.0	PF07714.13
1T45	589	923	0.0	PF07714.13
1T46	589	923	0.0	PF07714.13
1U46	127	385	0.0	PF07714.13
1U4D	127	385	0.0	PF07714.13
1U54	127	385	0.0	PF07714.13
1U54	127	385	0.0	PF07714.13
1U59	342	591	0.0	PF07714.13
1UWH	457	711	0.0	PF07714.13
1UWJ	457	711	0.0	PF07714.13
1VR2	834	1160	0.0	PF07714.13
1XBA	374	623	0.0	PF07714.13
1XBB	374	623	0.0	PF07714.13
1XBC	374	623	0.0	PF07714.13
1XKK	714	965	0.0	PF07714.13
1Y57	268	515	0.0	PF07714.13
1Y6A	832	1158	0.0	PF07714.13
1Y6B	832	1158	0.0	PF07714.13
1YI6	268	515	0.0	PF07714.13
1YOJ	270	517	0.0	PF07714.13
1YOL	270	517	0.0	PF07714.13
1YOM	270	517	0.0	PF07714.13
1YVJ	823	1094	0.0	PF07714.13
1YWN	832	1158	0.0	PF07714.13
2AUH	997	1263	0.0	PF07714.13
2B4S	997	1263	0.0	PF07714.13
2B7A	849	1120	0.0	PF07714.13
2BDF	268	515	0.0	PF07714.13
2BDJ	268	515	0.0	PF07714.13
2C0I	241	489	0.0	PF07714.13
2C0O	241	489	0.0	PF07714.13
2C0T	241	489	0.0	PF07714.13
2DQ7	11	260	0.0	PF07714.13
2E2B	242	492	0.0	PF07714.13
2EB2	714	965	0.0	PF07714.13
2EB3	714	965	0.0	PF07714.13
2ETM	422	676	0.0	PF07714.13
2EVA	37	283	0.0	PF07714.13
2F4J	242	492	0.0	PF07714.13
2FB8	458	712	0.0	PF07714.13
2FGI	479	754	0.0	PF07714.13
2FO0	261	511	0.0	PF07714.13
2G15	1079	1336	0.0	PF07714.13
2G1T	242	492	0.0	PF07714.13
2G2F	242	492	0.0	PF07714.13
2G2H	261	511	0.0	PF07714.13
2G2I	242	492	0.0	PF07714.13
2GQG	242	492	0.0	PF07714.13
2GS2	690	941	0.0	PF07714.13
2GS6	690	941	0.0	PF07714.13
2GS7	690	941	0.0	PF07714.13
2GSF	622	878	0.0	PF07714.13
2H8H	268	515	0.0	PF07714.13
2HCK	267	515	0.0	PF07714.13
2HEL	621	878	0.0	PF07714.13
2HEN	630	888	0.0	PF07714.13
2HIW	260	510	0.0	PF07714.13
2HK5	245	493	0.0	PF07714.13
2HWO	268	515	0.0	PF07714.13
2HWP	268	515	0.0	PF07714.13
2HYY	242	492	0.0	PF07714.13
2HZ0	242	492	0.0	PF07714.13
2HZ4	242	492	0.0	PF07714.13
2HZI	242	492	0.0	PF07714.13
2HZN	242	492	0.0	PF07714.13
2I0V	582	910	0.0	PF07714.13
2I0Y	582	910	0.0	PF07714.13
2I1M	582	910	0.0	PF07714.13
2IJM	422	676	0.0	PF07714.13
2ITN	714	965	0.0	PF07714.13
2ITO	714	965	0.0	PF07714.13
2ITP	714	965	0.0	PF07714.13
2ITQ	714	965	0.0	PF07714.13
2ITT	714	965	0.0	PF07714.13
2ITT	714	965	0.0	PF07714.13
2ITU	714	965	0.0	PF07714.13
2ITV	714	965	0.0	PF07714.13
2ITW	714	965	0.0	PF07714.13
2ITX	714	965	0.0	PF07714.13
2ITY	714	965	0.0	PF07714.13
2ITZ	714	965	0.0	PF07714.13
2IVS	724	1005	0.0	PF07714.13
