PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1HQM	18	379	3.3E-40	PF04563.11
1I3Q	42	455	0.0	PF04563.11
1I50	42	455	0.0	PF04563.11
1I6H	42	455	0.0	PF04563.11
1I6V	18	379	3.2E-40	PF04563.11
1IW7	18	379	6.1E-38	PF04563.11
1K83	42	455	0.0	PF04563.11
1L9U	18	379	3.2E-40	PF04563.11
1L9Z	18	379	3.2E-40	PF04563.11
1NIK	42	455	0.0	PF04563.11
1NT9	42	455	0.0	PF04563.11
1PQV	42	455	0.0	PF04563.11
1R5U	42	455	0.0	PF04563.11
1R9S	42	455	0.0	PF04563.11
1R9T	42	455	0.0	PF04563.11
1SFO	42	455	0.0	PF04563.11
1SMY	18	379	6.1E-38	PF04563.11
1TWA	42	455	0.0	PF04563.11
1TWC	42	455	0.0	PF04563.11
1TWF	42	455	0.0	PF04563.11
1TWG	42	455	0.0	PF04563.11
1TWH	42	455	0.0	PF04563.11
1WCM	42	455	0.0	PF04563.11
1Y1V	42	455	0.0	PF04563.11
1Y1W	42	455	0.0	PF04563.11
1Y1Y	42	455	0.0	PF04563.11
1Y77	42	455	0.0	PF04563.11
1YNJ	18	379	3.3E-40	PF04563.11
1YNN	18	379	3.3E-40	PF04563.11
1ZYR	18	379	6.1E-38	PF04563.11
2A68	18	379	6.1E-38	PF04563.11
2A69	18	379	6.1E-38	PF04563.11
2A6E	18	379	6.1E-38	PF04563.11
2A6H	18	379	6.1E-38	PF04563.11
2B63	42	455	0.0	PF04563.11
2B8K	42	455	0.0	PF04563.11
2BE5	18	379	6.1E-38	PF04563.11
2CW0	18	379	6.1E-38	PF04563.11
2E2H	42	455	0.0	PF04563.11
2E2I	42	455	0.0	PF04563.11
2E2J	42	455	0.0	PF04563.11
2GHO	18	379	3.3E-40	PF04563.11
2JA5	42	455	0.0	PF04563.11
2JA6	42	455	0.0	PF04563.11
2JA7	42	455	0.0	PF04563.11
2JA8	42	455	0.0	PF04563.11
2NVQ	42	455	0.0	PF04563.11
2NVT	42	455	0.0	PF04563.11
2NVX	42	455	0.0	PF04563.11
2NVY	42	455	0.0	PF04563.11
2NVZ	42	455	0.0	PF04563.11
2O5I	18	379	6.1E-38	PF04563.11
2O5J	18	379	6.1E-38	PF04563.11
2PMZ	22	391	0.0	PF04563.11
2PPB	18	379	6.1E-38	PF04563.11
2R7Z	42	455	0.0	PF04563.11
2R92	42	455	0.0	PF04563.11
2R93	42	455	0.0	PF04563.11
2VUM	42	455	0.0	PF04563.11
2WAQ	25	394	0.0	PF04563.11
2WB1	25	394	0.0	PF04563.11
2Y0S	25	394	0.0	PF04563.11
2YU9	42	455	0.0	PF04563.11
3AOH	18	379	6.1E-38	PF04563.11
3AOI	18	379	6.1E-38	PF04563.11
3CQZ	42	455	0.0	PF04563.11
3DXJ	18	379	6.1E-38	PF04563.11
3EQL	18	379	6.1E-38	PF04563.11
3FKI	42	455	0.0	PF04563.11
3GTG	42	455	0.0	PF04563.11
3GTJ	42	455	0.0	PF04563.11
3GTK	42	455	0.0	PF04563.11
3GTL	42	455	0.0	PF04563.11
3GTM	42	455	0.0	PF04563.11
3GTO	42	455	0.0	PF04563.11
3GTP	42	455	0.0	PF04563.11
3GTQ	42	455	0.0	PF04563.11
3H0G	30	441	0.0	PF04563.11
3H3V	42	455	0.0	PF04563.11
3HKZ	22	391	0.0	PF04563.11
3HOU	42	455	0.0	PF04563.11
3HOV	42	455	0.0	PF04563.11
3HOW	42	455	0.0	PF04563.11
3HOX	42	455	0.0	PF04563.11
3HOY	42	455	0.0	PF04563.11
3HOZ	42	455	0.0	PF04563.11
3I4M	42	455	0.0	PF04563.11
3I4N	42	455	0.0	PF04563.11
3IYD	26	500	0.0	PF04563.11
3J0K	42	455	0.0	PF04563.11
3J1N	42	455	0.0	PF04563.11
3K1F	42	455	0.0	PF04563.11
3K7A	42	455	0.0	PF04563.11
3LU0	26	500	0.0	PF04563.11
3M3Y	42	455	0.0	PF04563.11
3M4O	42	455	0.0	PF04563.11
3MLQ	18	379	2.6E-41	PF04563.11
3PO2	42	455	0.0	PF04563.11
3PO3	42	455	0.0	PF04563.11
3QT1	42	455	0.0	PF04563.11
3RZD	42	455	0.0	PF04563.11
3RZO	42	455	0.0	PF04563.11
3S14	42	455	0.0	PF04563.11
3S15	42	455	0.0	PF04563.11
3S16	42	455	0.0	PF04563.11
3S17	42	455	0.0	PF04563.11
3S1M	42	455	0.0	PF04563.11
3S1N	42	455	0.0	PF04563.11
3S1Q	42	455	0.0	PF04563.11
3S1R	42	455	0.0	PF04563.11
3S2D	42	455	0.0	PF04563.11
3S2H	42	455	0.0	PF04563.11
3WOD	18	379	6.1E-38	PF04563.11
4A3B	42	455	0.0	PF04563.11
4A3C	42	455	0.0	PF04563.11
4A3D	42	455	0.0	PF04563.11
4A3E	42	455	0.0	PF04563.11
4A3F	42	455	0.0	PF04563.11
4A3G	42	455	0.0	PF04563.11
4A3I	42	455	0.0	PF04563.11
4A3J	42	455	0.0	PF04563.11
4A3K	42	455	0.0	PF04563.11
4A3L	42	455	0.0	PF04563.11
4A3M	42	455	0.0	PF04563.11
4A93	42	455	0.0	PF04563.11
4AYB	25	394	0.0	PF04563.11
4BBR	42	455	0.0	PF04563.11
4BBS	42	455	0.0	PF04563.11
4BXX	42	455	0.0	PF04563.11
4BXZ	42	455	0.0	PF04563.11
4BY1	42	455	0.0	PF04563.11
4BY1	42	455	0.0	PF04563.11
4BY7	42	455	0.0	PF04563.11
4C2M	41	457	0.0	PF04563.11
4C3H	41	457	0.0	PF04563.11
4C3I	41	457	0.0	PF04563.11
4C3J	41	457	0.0	PF04563.11
4G7H	18	379	6.1E-38	PF04563.11
4G7O	18	379	6.1E-38	PF04563.11
4G7Z	18	379	6.1E-38	PF04563.11
4GZY	18	379	6.1E-38	PF04563.11
4GZZ	18	379	6.1E-38	PF04563.11
4JK1	26	500	0.0	PF04563.11
4JK2	26	500	0.0	PF04563.11
4JKR	26	500	0.0	PF04563.11
4KBJ	99	417	3.7E-23	PF04563.11
4KBM	99	417	3.7E-23	PF04563.11
4KMU	26	500	0.0	PF04563.11
4KN4	26	500	0.0	PF04563.11
4KN7	26	500	0.0	PF04563.11
4LJZ	26	500	0.0	PF04563.11
4LK0	26	500	0.0	PF04563.11
4LK1	26	500	0.0	PF04563.11
4LLG	26	500	0.0	PF04563.11
4MEX	26	500	0.0	PF04563.11
4MEY	26	500	0.0	PF04563.11
4MQ9	18	379	6.1E-38	PF04563.11
4OIN	18	379	6.1E-38	PF04563.11
4OIO	18	379	6.1E-38	PF04563.11
4OIP	18	379	6.1E-38	PF04563.11
4OIQ	18	379	6.1E-38	PF04563.11
4OIR	18	379	6.1E-38	PF04563.11
4Q4Z	18	379	6.1E-38	PF04563.11
4Q5S	18	379	6.1E-38	PF04563.11
4QIW	30	380	0.0	PF04563.11
4S20	26	500	0.0	PF04563.11
4V1M	42	455	0.0	PF04563.11
4V1N	42	455	0.0	PF04563.11
4V1O	42	455	0.0	PF04563.11
4V8S	25	394	0.0	PF04563.11
4WQS	18	379	6.1E-38	PF04563.11
