PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1A6I	10	55	2.3E-14	PF00440.19
1BJZ	10	55	1.2E-15	PF00440.19
1JT0	7	53	2.4E-14	PF00440.19
1JT6	7	53	2.3E-14	PF00440.19
1JTX	7	53	2.4E-14	PF00440.19
1JTY	7	53	2.4E-14	PF00440.19
1JUM	7	53	2.4E-14	PF00440.19
1JUP	7	53	2.4E-14	PF00440.19
1JUS	7	53	2.4E-14	PF00440.19
1ORK	10	55	1.2E-15	PF00440.19
1QPI	10	55	1.2E-15	PF00440.19
1QVT	7	53	2.6E-14	PF00440.19
1QVU	7	53	2.6E-14	PF00440.19
1RKT	17	62	2.8E-14	PF00440.19
1RKW	7	53	2.4E-14	PF00440.19
1RPW	7	53	2.3E-14	PF00440.19
1SGM	11	57	5.2E-14	PF00440.19
1T33	17	62	6.0E-13	PF00440.19
1T56	29	74	3.9E-15	PF00440.19
1U9N	29	74	4.7E-15	PF00440.19
1U9O	29	74	4.7E-15	PF00440.19
1UI5	14	60	9.3E-18	PF00440.19
1UI6	14	60	9.3E-18	PF00440.19
1VI0	11	56	1.2E-17	PF00440.19
1Z0X	10	56	4.6E-12	PF00440.19
1Z77	8	51	1.1E-19	PF00440.19
1ZK8	13	50	2.3E-5	PF00440.19
1ZKG	8	51	1.2E-19	PF00440.19
2D6Y	13	58	5.5E-11	PF00440.19
2DG7	14	55	7.1E-14	PF00440.19
2DG8	14	59	3.2E-12	PF00440.19
2DTZ	7	53	2.4E-14	PF00440.19
2EH3	7	52	2.1E-21	PF00440.19
2F07	12	57	2.2E-16	PF00440.19
2FBQ	10	56	1.0E-15	PF00440.19
2FD5	12	57	1.3E-8	PF00440.19
2FJ1	10	55	1.2E-15	PF00440.19
2FQ4	17	59	1.4E-13	PF00440.19
2FX0	12	56	2.4E-13	PF00440.19
2G0E	7	53	2.3E-14	PF00440.19
2G3B	8	53	3.5E-12	PF00440.19
2G7L	24	69	1.1E-9	PF00440.19
2G7S	11	54	1.3E-9	PF00440.19
2GBY	7	53	2.4E-14	PF00440.19
2GEN	10	52	4.8E-15	PF00440.19
2GFN	16	60	9.8E-11	PF00440.19
2GUH	22	68	3.4E-14	PF00440.19
2HKU	24	68	1.2E-5	PF00440.19
2HQ5	7	53	2.4E-14	PF00440.19
2HXI	12	58	6.4E-12	PF00440.19
2HXO	20	65	1.7E-9	PF00440.19
2HYJ	17	59	5.6E-8	PF00440.19
2HYT	16	62	3.4E-17	PF00440.19
2I10	15	58	1.3E-14	PF00440.19
2IAI	14	59	5.8E-17	PF00440.19
2IBD	19	65	2.7E-18	PF00440.19
2ID3	26	61	8.3E-8	PF00440.19
2ID6	8	51	1.1E-19	PF00440.19
2IEK	8	51	1.1E-19	PF00440.19
2IU5	16	54	2.5E-7	PF00440.19
2JJ7	12	56	2.1E-13	PF00440.19
2JK3	12	56	2.2E-13	PF00440.19
2NP3	35	80	4.8E-14	PF00440.19
2NP5	17	58	2.2E-11	PF00440.19
2NS7	10	55	1.4E-15	PF00440.19
2NS8	10	55	1.4E-15	PF00440.19
2NX4	14	58	8.4E-14	PF00440.19
2O7O	10	55	1.2E-15	PF00440.19
2O7T	15	50	1.1E-6	PF00440.19
2OER	27	71	1.7E-15	PF00440.19
2OF7	30	74	3.0E-13	PF00440.19
2OI8	23	66	2.4E-11	PF00440.19
2OPT	36	80	1.3E-9	PF00440.19
2PBX	22	67	9.9E-12	PF00440.19
2PZ9	35	80	1.2E-12	PF00440.19
2Q24	20	65	1.1E-14	PF00440.19
2QCO	20	64	1.2E-9	PF00440.19
