PDB_ID	PdbResNumStart	PdbResNumEnd	eValue	PFAM_ACC
1DXZ	236	267	2.1E-11	PF02932.12
1OED	218	302	0.0	PF02932.12
1OED	403	426	0.0	PF02932.12
1OED	224	455	0.0	PF02932.12
1OED	233	473	0.0	PF02932.12
1OED	226	467	0.0	PF02932.12
1VRY	-2	57	1.4E-21	PF02932.12
2BG9	218	374	0.0	PF02932.12
2BG9	374	426	0.0	PF02932.12
2BG9	224	403	0.0	PF02932.12
2BG9	403	455	0.0	PF02932.12
2BG9	233	421	0.0	PF02932.12
2BG9	423	473	0.0	PF02932.12
2BG9	225	414	0.0	PF02932.12
2BG9	414	466	0.0	PF02932.12
2K58	11	35	1.0E-10	PF02932.12
2K59	1	28	1.6E-10	PF02932.12
2KSR	35	124	0.0	PF02932.12
2KSR	130	156	0.0	PF02932.12
2LKG	57	140	2.6E-23	PF02932.12
2LKH	57	140	2.6E-23	PF02932.12
2LLY	14	103	0.0	PF02932.12
2LM2	14	103	0.0	PF02932.12
2M6B	227	309	2.4E-37	PF02932.12
2M6I	227	309	2.4E-37	PF02932.12
2MAW	13	99	5.3E-36	PF02932.12
3JAD	243	324	3.5E-34	PF02932.12
3JAE	243	324	3.5E-34	PF02932.12
3JAF	243	324	3.5E-34	PF02932.12
3MRA	277	301	5.6E-7	PF02932.12
3RHW	220	301	2.0E-27	PF02932.12
3RI5	220	301	2.0E-27	PF02932.12
3RIA	220	301	2.0E-27	PF02932.12
3RIF	220	301	2.0E-27	PF02932.12
4AQ5	218	306	0.0	PF02932.12
4AQ5	374	426	0.0	PF02932.12
4AQ5	224	455	0.0	PF02932.12
4AQ5	233	473	0.0	PF02932.12
4AQ5	225	466	0.0	PF02932.12
4AQ9	218	306	0.0	PF02932.12
4AQ9	374	426	0.0	PF02932.12
4AQ9	224	455	0.0	PF02932.12
4AQ9	233	473	0.0	PF02932.12
4AQ9	225	466	0.0	PF02932.12
4AQ9	218	306	0.0	PF02932.12
4AQ9	374	426	0.0	PF02932.12
4AQ9	224	455	0.0	PF02932.12
4AQ9	233	473	0.0	PF02932.12
4AQ9	225	466	0.0	PF02932.12
4BOG	224	455	0.0	PF02932.12
4BOG	233	473	0.0	PF02932.12
4BOG	218	306	0.0	PF02932.12
4BOG	374	426	0.0	PF02932.12
4BOG	225	466	0.0	PF02932.12
4BOI	218	306	0.0	PF02932.12
4BOI	374	426	0.0	PF02932.12
4BOI	224	455	0.0	PF02932.12
4BOI	233	473	0.0	PF02932.12
4BOI	225	466	0.0	PF02932.12
4BON	218	306	0.0	PF02932.12
4BON	374	426	0.0	PF02932.12
4BON	224	455	0.0	PF02932.12
4BON	233	473	0.0	PF02932.12
4BON	225	466	0.0	PF02932.12
4BOO	218	306	0.0	PF02932.12
4BOO	374	426	0.0	PF02932.12
4BOO	224	455	0.0	PF02932.12
4BOO	233	473	0.0	PF02932.12
4BOO	225	466	0.0	PF02932.12
4BOR	218	306	0.0	PF02932.12
4BOR	374	426	0.0	PF02932.12
4BOR	224	455	0.0	PF02932.12
4BOR	233	473	0.0	PF02932.12
4BOR	225	466	0.0	PF02932.12
4BOT	218	306	0.0	PF02932.12
4BOT	374	426	0.0	PF02932.12
4BOT	224	455	0.0	PF02932.12
4BOT	233	473	0.0	PF02932.12
4BOT	225	466	0.0	PF02932.12
4COF	225	312	2.7E-39	PF02932.12
4PIR	227	452	1.5E-40	PF02932.12
4TNV	220	301	2.0E-27	PF02932.12
4TNW	220	301	2.0E-27	PF02932.12
4X5T	227	313	1.1E-36	PF02932.12
5CFB	227	308	9.2E-35	PF02932.12
